symbol,date,height
上限標高,Jan 2000,245
上限標高,Feb 2000,243
上限標高,Mar 2000,240
上限標高,Apr 2000,237.5
上限標高,May 2000,235
上限標高,Jun 2000,235
上限標高,Jul 2000,236
上限標高,Aug 2000,240
上限標高,Sep 2000,240
上限標高,Oct 2000,245
上限標高,Nov 2000,245
上限標高,Dec 2000,245
下限標高,Jan 2000,240
下限標高,Feb 2000,235
下限標高,Mar 2000,230
下限標高,Apr 2000,225
下限標高,May 2000,220
下限標高,Jun 2000,220
下限標高,Jul 2000,222.5
下限標高,Aug 2000,225
下限標高,Sep 2000,230
下限標高,Oct 2000,235
下限標高,Nov 2000,240
下限標高,Dec 2000,240
嚴重下限標高,Jan 2000,224
嚴重下限標高,Feb 2000,223
嚴重下限標高,Mar 2000,220
嚴重下限標高,Apr 2000,215
嚴重下限標高,May 2000,210
嚴重下限標高,Jun 2000,210
嚴重下限標高,Jul 2000,213
嚴重下限標高,Aug 2000,213
嚴重下限標高,Sep 2000,213
嚴重下限標高,Oct 2000,215
嚴重下限標高,Nov 2000,220
嚴重下限標高,Dec 2000,225
